id,title,likes,views,engagement_rate,log_likes
3828,this time,35000,263000,0.13308,4.5441
3829,will there be this phenomenon in reality # Magic Doctor Alliance # film and television commentary # Fast hand film and television creator,11000,945731,0.01163,4.0414
3830,the child born on the road,11000,1356006,0.00811,4.0414
3831,coming,15000,808136,0.01856,4.1761
3832,stunned the landlord 😱😱 # assemblyPhotocreators,25000,670000,0.03731,4.398
3833,breaking the boundaries of the 46th episode: Such a demon woman,32000,523000,0.06119,4.5052
3834,# Lego City Adventure,27000,484000,0.05579,4.4314
3835,woman wakes up with a drool stick stuffed in her mouth,42000,8020348,0.00524,4.6233
3836,slag girl bully new,584000,57516000,0.01015,5.7664
3837,math genius Lao Lin was expelled from school,14000,938111,0.01492,4.1462
3838,do not bully people too much,92000,1795834,0.05123,4.9638
3839,# fast hands film and television hot plan # left ear # assembly photosynthetic creator as long as the ticket change fast to where there is love,38000,1482602,0.02563,4.5798
3840,heard that see sunshine Jinshan people will be lucky for a whole year,159000,588000,0.27041,5.2014
3841,the real big guy,20000,1871432,0.01069,4.3011
3842,My mother is not not OK,101000,1120259,0.09016,5.0043
3843,# Call of Duty Wongsant # Assemble Photosynthetic Creator # Game Star Project Double Wielding cannon,43000,1431896,0.03003,4.6335
3844,# Game Star Project # Peace Elite # Old Six This old six I really believe,130000,5300000,0.02453,5.1139
3845,Qingdi development monkey new costume,16000,1690000,0.00947,4.2041
3846,during the day dry barbecue night play Ma Chao,15000,202000,0.07426,4.1761
3847,Song of Help # King of Glory musical Reach for the stars,252000,1669329,0.15096,5.4014
3848,[MC] When my world is down to the last pig pig man worth double? 【 Yang's Great sorrow 】,39000,823000,0.04739,4.5911
3849,Avengers Assemble on the destruction of the supreme high school squadron,114000,3111000,0.03664,5.0569
3850,green tea sister to test gluten,56000,1537000,0.03643,4.7482
3851,thank you for the little babies along the way ❤ Good evening!!,11000,397000,0.02771,4.0414
3852,female anchor in order to 1000 yuan,483000,29976621,0.01611,5.6839
3853,after I translated the mc biological 100 times,20000,581000,0.03442,4.3011
3854,guys,379000,5878000,0.06448,5.5786
3855,in also do not do a long video is too difficult to export and not fire and slow 😤# North star clip team # cut cloud cut water clip # elf dream leaf Luo Li,16000,295742,0.0541,4.2041
3856,the original ultraman really exists # Tiga Ultraman #ultraman cat kite # creative inspiration,177000,2692000,0.06575,5.248
3857,Mini-world: Escape Language teacher 334 can only be forced to escape his # Mini-world # Warwick Society in SpongeBob Squarepants' mind today I shot a wonderful game video for # Mini-world! Play with me,18000,584000,0.03082,4.2553
3858,little wild turtle picked up by the river Huge change after two and a half years Immersion raising stone turtle continued super decompression # Raising turtle daily # turtle,27000,1241000,0.02176,4.4314
3859,the guy came to the river to carry water,49000,3687333,0.01329,4.6902
3860,the 83rd set of men has been a force,56000,1377000,0.04067,4.7482
3861,# game where the star plan strongly requires planning to delete the couple relationship this function!,19000,252000,0.0754,4.2788
3862,# gathering photosynthesis creator Tang SAN worship,12000,375000,0.032,4.0792
3863,what happens when I wear 100w on my body # Dark zone breakout # dark Zone breakout This is very comfortable come and play,38000,551000,0.06897,4.5798
3864,# annoying villager #mc must win # game,29000,830000,0.03494,4.4624
3865,Waka with the door clamped Dream Hunter? Dream hunters can't move. Humans do whatever they want!,19000,316000,0.06013,4.2788
3866,Then wish the lovers more love and the loveless freedom # How far to be together # Cover,38000,283000,0.13428,4.5798
3867,small chapter drive the sea straight into the lobster nest,10000,522000,0.01916,4.0
3868,wait for me,50000,1588000,0.03149,4.699
3869,can you still laugh? # Kingglory # detailworks # Mulan Collector Skin,37000,762000,0.04856,4.5682
3870,the final one eats four,124000,2904872,0.04269,5.0934
3871,the legend of puppet disease,49000,1127000,0.04348,4.6902
3872,# snowflake again beautiful snowflake again beautiful,61000,1252000,0.04872,4.7853
3873,set up a stall selling starchy sausages,15000,902132,0.01663,4.1761
3874,man wants to take away his son,13000,534000,0.02434,4.114
3875,Meng Tian forever God!,227000,4895000,0.04637,5.356
3876,this is the most beautiful BUG I've ever stuck # PeaceElite # Here's a magic potion for you,925000,10886000,0.08497,5.9661
3877,[Abyss Mage super detailed broken shield guide!] # Midsummer Fantasy # Primal God # Primal God Walkthrough,25000,484000,0.05165,4.398
3878,submissions are welcome,69000,602000,0.11462,4.8389
3879,Houyi: There's dirt in the Canyon # KingGlory Funny dub,43000,1658503,0.02593,4.6335
3880,the bride regardless of the beautiful wife,23000,639632,0.03596,4.3617
3881,the data is comparable to 141? Look at the end of the season without God of War! # CallofDuty mobile games #CODM,16000,322000,0.04969,4.2041
3882,# Moviesdon't make me do it # funkest comedy movie of the year # Summertime movies,487000,11101000,0.04387,5.6875
3883,about the diaosi male hero as soon as he sleeps across the two sides to eat soft food this matter # comic commentary # sound cartoon # 2 yuan,16000,180000,0.08889,4.2041
3884,One is not giving up # Movies I really hate long-distance relationship # incredible love,25000,238000,0.10504,4.398
3885,# gatheringPhotophotocreator Ultraman Legend hero: Mechanical Diga appearance # Ultraman Legend hero,16000,410319,0.03899,4.2041
3886,# TheFifth Personality,14000,146000,0.09589,4.1462
3887,濮全生冲动打了田老八，准备离开碗米溪 #快手放映室 #我在快手追好剧,26000,2716832,0.00957,4.415
3888,Ultraman card Brawl! Big Head Celo vs. Dark Lops Celo vs. Scrabble card,12000,690686,0.01737,4.0792
3889,in Xiao Run's heart,34000,291000,0.11684,4.5315
3890,it is a day when the mood of small grapes is broken! # TheFifth Personality,12000,104000,0.11538,4.0792
3891,always pay attention to enemy skills # King glory # detail operation # teaching,27000,815000,0.03313,4.4314
3892,the road to the demise of Small day stupid MacArthur takeover Day stupid # Pacific War # Japan # World War II,50000,991000,0.05045,4.699
3893,still calling me the Cool Heart anchor? 【 Angry 】【 Angry 】# Naruto # Naruto mobile game,25000,663661,0.03767,4.398
3894,wizard Zhengtai version you are getting married,57000,546000,0.1044,4.7559
3895,# King glory # King Glory Li Xin # Dog Li Xin really don't understand the use of this help rob? I suggest deleting it is best.,82000,1576000,0.05203,4.9138
3896,foreign demons attack,11000,412000,0.0267,4.0414
3897,double go to the love is too sweet # song marry,14000,333000,0.04204,4.1462
3898,# beautiful days and good times # Xu Lu # Lin Yi was amazed by Xu Lu's red dress,21000,259000,0.08108,4.3222
3899,Naruto Nonsense 22: The balls Naruto rubbed in those years # Naruto # Naruto # Summer Strike,127000,2519165,0.05041,5.1038
3900,Lao Li this net big fish a major six Dazuo # Bright sword,34000,2978000,0.01142,4.5315
3901,# All in that place # suspensethrillers,11000,472000,0.02331,4.0414
3902,the chief invited female soldiers to the home,38000,5875613,0.00647,4.5798
3903,light encounter some limited rare items and out-of-print gift packages # light encounter #sky light encounter # light encounter performance season,36000,800000,0.045,4.5563
3904,this group of hairy monkeys is too brave,28000,947000,0.02957,4.4472
3905,the whole world will speak Chinese? Foreigners sing Tenger version invisible,22000,449000,0.049,4.3424
3906,now the holiday island even I will be stuffed with all kinds of # list,90000,1371000,0.06565,4.9542
3907,Huawei again surprise,13000,635000,0.02047,4.114
3908,peak period of Cao Changqing and Li Chungang who more powerful # I in the fast hands to catch up with good drama # film editing # fast hands screening room,64000,7218528,0.00887,4.8062
3909,wonderful work hide and seek # Fast hand entertainment Star Yi plan seventh phase # film commentary # funny stories,70000,8962729,0.00781,4.8451
3910,the small cake was ridiculed by his companions,10000,596874,0.01675,4.0
3911,Episode 4 I Man in order to get 10 billion sold love girlfriend for many years # Korean drama # movie commentary # movie collection incentive program,12000,435000,0.02759,4.0792
3912,the farmer woman went to the city to buy steamed bread business good to explode,12000,1246861,0.00962,4.0792
3913,set 197,29000,590000,0.04915,4.4624
3914,girlfriend 1 of 3 # Don't know fire dance Charm # Diao Cicada cat shadow magic dance # Big Joe White Crane Liang goddess,27000,337000,0.08012,4.4314
3915,# Fast hands film and television hot plan # I am in fast hands to catch up with good drama # nostalgia classic film and television,16000,2567919,0.00623,4.2041
3916,I don't want to start school,11000,175000,0.06286,4.0414
3917,the human boy breaks into the castle by mistake,85000,2301000,0.03694,4.9294
3918,she lived alone for 6 years and lived in a 35m² home with 1000 books! # Wanting to visit your house #loft # amazing girl,13000,528000,0.02462,4.114
3919,this wave 2 Flash White up to practice 2 1/2 years # No Rules Magnolia,47000,1099000,0.04277,4.6721
3920,Card Vision can play a surprise maneuver!,85000,1759638,0.04831,4.9294
3921,graduation travel to Yunnan,34000,878636,0.0387,4.5315
3922,all men in the Harem are in tears. Ruyi warmed the harem! # Yuqing editing station # Ruyi's story # Li Zicheng,258000,3845684,0.06709,5.4116
3923,# Ruijin # Private ooc apology. loading,178000,1796000,0.09911,5.2504
3924,# choice of TV drama wife # Fast hand film and television new hot plan # summer constantly film traffic accident textbook,188000,23576622,0.00797,5.2742
3925,# I am the King of Pop # 50,252000,6941000,0.03631,5.4014
3926,# Original video commentary # Wonderful movie clips # Fast Entertainment Star Project # 7,24000,980000,0.02449,4.3802
3927,Mo Yu: Dark letter is really too strong,16000,900826,0.01776,4.2041
3928,a cloud arrows thousands of troops to meet # two yuan # summer attack # comic commentary,45000,947000,0.04752,4.6532
3929,Luban skin master # king glory # king the most secure assistance,85000,1535000,0.05537,4.9294
3930,Ma Chao how to play? # Kingglory # Ma Chao # Card Point,62000,1161000,0.0534,4.7924
3931,# I am chasing drama in fast hands # Fast hands film and television new hot plan in order to save my brother,12000,775250,0.01548,4.0792
3932,120 buy 4 pig ears,22000,1345000,0.01636,4.3424
3933,Tang trio set collapse again? Dou Luo four adaptation problems,106000,3811000,0.02781,5.0253
3934,tent camping,11000,305042,0.03606,4.0414
3935,a family goes underground for 35 years to escape a nuclear bomb,483000,32409000,0.0149,5.6839
3936,billiards rules: Chinese eight balls the most controversial rules,60000,1416000,0.04237,4.7782
3937,Quack Gaga ~ 😏 # Rayann # Private ooc apology banned! # Maruko-chan is working on editing the video,12000,76000,0.15789,4.0792
3938,# Game # Forthright Crazy Racing this netizen has a great design,10000,330000,0.0303,4.0
3939,#2022 Photosynthesis Creators Conference # I am catching up on a good play in fast hands # Fast film and television new hot plan,46000,1598526,0.02878,4.6628
3940,Master Bodhi and Sun WuKong fight the three strongest Buddhas of Lingshan # Journey to the West # Nostalgia classic film and television commentary,54000,4240799,0.01273,4.7324
3941,the 49th episode of Fuxi's show! Arouse the dissatisfaction of the big men in the group! # Summer strike # sand sculpture fairy animation,20000,445000,0.04494,4.3011
3942,episode 5 | When the naughty brother meets the beautiful class teacher sister after 90! What a pair of happy enemies! When the elder sister had her period,23000,1163000,0.01978,4.3617
3943,with soil to hang,18000,514000,0.03502,4.2553
3944,men born Yin and Yang eyes,48000,3263614,0.01471,4.6813
3945,pet wife this also have to see dragon one,13000,698412,0.01861,4.114
3946,jelly three musketeers was unjust abbot hit the cliff,22000,730000,0.03014,4.3424
3947,light version of peace elite 3,23000,386000,0.05959,4.3617
3948,imprisoned Silver Knight 2 # anime # manga # Two Yuan,35000,469000,0.07463,4.5441
3949,Xiao Snake is playing Zhen's # Naruto mobile game,64000,973000,0.06578,4.8062
3950,count the strongest auxiliary Zhou deep six celestial chorus,29000,1132000,0.02562,4.4624
3951,# Midsummer Fantasy song # Original God challenge deep mirror spiral meaning is to fight side by side with the role!,30000,288000,0.10417,4.4771
3952,Wen Di,26000,970000,0.0268,4.415
3953,Luo Xiaoluo with Kaka,30000,1899000,0.0158,4.4771
3954,#2022 photosynthesis creator conference lost stealth # ask for praise and attention for hot # hope to fire,25000,1155599,0.02163,4.398
3955,Epic War Simulator 2: Can 300 Spartan Warriors withstand an attack of 200,37000,2185036,0.01693,4.5682
3956,the man tries to cross the pit by imitating others,32000,7450969,0.00429,4.5052
3957,Episode 47 Zu Wu's uncle and nephew Xiao 2,19000,379000,0.05013,4.2788
3958,today is a good day,27000,883000,0.03058,4.4314
3959,Mini world: The BOSS sandworm that is officially sealed in the desert is more powerful than the void phantom # mini world # play summer vacation,128000,2142000,0.05976,5.1072
3960,dry barbecue in the day and play Ma Chao at night,24000,1252000,0.01917,4.3802
3961,mysterious four Ao poke poke music 3 plays,68000,2200000,0.03091,4.8325
3962,the superstars are coming,54000,854000,0.06323,4.7324
3963,ducklings trapped in the pool,241000,3550000,0.06789,5.382
3964,Mini World: Pocket Money Parkour,54000,475000,0.11368,4.7324
3965,# Run Away Teen Star Challenge That's what it's all about with the manhunt's top pull! # Runaway Salt Man,42000,1232000,0.03409,4.6233
3966,40 or 50 seconds cd big move on 450 damage,13000,417000,0.03118,4.114
3967,recall the sunflower five years of change,13000,164000,0.07927,4.114
3968,the Sai Kung Boundary supernatural event that shocked Hong Kong,12000,623010,0.01926,4.0792
3969,three cars narrow road meet,632000,31452000,0.02009,5.8007
3970,the alfalfa in the spring field can be eaten,24000,1103000,0.02176,4.3802
3971,came in and saw Chang Wei playing Raffles 😂 # I am in fast hands to catch up with good drama # fast hands screening room # HD movie,38000,2781251,0.01366,4.5798
3972,the early ceiling of the battle,21000,1140795,0.01841,4.3222
3973,#2022 Photosynthetic Creators Conference # Movie commentary # Fast film talent do not bully honest people,25000,2386908,0.01047,4.398
3974,in order to give the goddess to find a way to cure beriberi can only draw a sword # summer blow # comic commentary # comic recommendation,23000,584963,0.03932,4.3617
3975,today is another day moved by their love ~ Mr. Lin really will not only eat ah family! Directly touched my heart on 😭# I am the Boom king # wedding anniversary,178000,2717000,0.06551,5.2504
3976,# HD 60 frames # Movie recommendations # Assassinationnovelist,19000,2558000,0.00743,4.2788
3977,foreign boxing champion said that Chinese martial arts is not good,10000,944881,0.01058,4.0
3978,Expert Roulette Challenge! Beat Expert Cowboys with a regenerative round! # Cuphead,45000,1163136,0.03869,4.6532
3979,it's not the size of the diamond that's precious,217000,2320000,0.09353,5.3365
3980,Me by your Side # I am in fast hands to catch up with the drama # Secret cell,21000,699000,0.03004,4.3222
3981,the bad woman's plot did not succeed,13000,351191,0.03702,4.114
3982,I'm gonna cut a C Jesus can't keep! # Kingglory Charlotte,115000,3372000,0.0341,5.0607
3983,when the man walks the wrong set # original commentary # Comics commentary # Comics recommendations,38000,752000,0.05053,4.5798
3984,Han Xin on the opposite wild,16000,532473,0.03005,4.2041
3985,maybe this is the game environment everyone yearnings for it # 100 before the peak # Li Haochen,181000,2696774,0.06712,5.2577
3986,decadent time finally figured out everything! The original Chu Ying has been living in his chess!,44000,1176000,0.03741,4.6435
3987,more delicious than fried chicken legs fried chicken legs men eat while frying,53000,2397000,0.02211,4.7243
3988,# Tong Jia Bao locomotive wind group construction,54000,1437000,0.03758,4.7324
3989,the new version of Zhang Guowei shining debut,60000,1486918,0.04035,4.7782
3990,the new daughter-in-law into the house,13000,1305429,0.00996,4.114
3991,it is my hee hee # Ah Fei,151000,1259000,0.11994,5.179
3992,all roads lead to Rome,204000,5187162,0.03933,5.3096
3993,who can help me explain,34000,1313000,0.02589,4.5315
3994,Chen Shikai learned that Su Ze's death # cartoon commentary # sound cartoon # Two yuan,12000,294000,0.04082,4.0792
3995,laugh to eat chicken: everywhere is the old six! Is this the state of the resort island? See how I sanction him! # GameVanstar Project # Peace Elite Birthday party # Peace Elite Super Benefits,11000,263000,0.04183,4.0414
3996,a Strange world # sandsculpture # funny # animation,12000,233000,0.0515,4.0792
3997,this child is weak and inflexible but also holds this great river and mountain! # superburning Mixshear,29000,457000,0.06346,4.4624
3998,Bao Lichun caught a big fish,69000,2740391,0.02518,4.8389
3999,In that case,154000,5908368,0.02606,5.1875
4000,King Kong # Quickhands Screening Room # QuickHands Recommenders #2022 Photosynthesis Creators Conference,78000,407367,0.19147,4.8921
4001,episode 3 | Episode 9 comic book name: Restart life of students with poor grades with tomato novels can see # Next Sun strike # photosynthesis plan,14000,190000,0.07368,4.1462
4002,which ninja do you think is the most reclusive? # Naruto mobile # Swimsuit Kakashi # Swimsuit mute,28000,532986,0.05253,4.4472
4003,funny dubbing: one dares to teach,38000,2325000,0.01634,4.5798
4004,what is the skill that the new emperor needs to learn to ascend the throne? Please demonstrate with Your Majesty # Manga commentary # manga recommendation # anime,28000,530000,0.05283,4.4472
4005,high school students steal sweet taste,238000,7039444,0.03381,5.3766
4006,Mini World: Kong vs. Godzilla! I turned into Kong via parkour,10000,525145,0.01904,4.0
4007,giant blocks to survive! # Minecraft # games,16000,217613,0.07353,4.2041
4008,Model: Tonight in July and a half what day,72000,1435000,0.05017,4.8573
4009,Fang Wei challenge 24 hours to live in the closet,60000,2154164,0.02785,4.7782
4010,Naruto parent-child day with sunflower to buy nine tail toys but bought a crane toy # Naruto # Hiroto # 2 Yuan,20000,565000,0.0354,4.3011
4011,Grigio prepares a birthday gift for Celo # Summerstrike # Celo Ultraman,11000,382912,0.02873,4.0414
4012,21 sets of seemingly kind and lovely girl,26000,1041000,0.02498,4.415
4013,there is this kind of opening agent,25000,1830000,0.01366,4.398
4014,Nanyang more in the world,63000,400000,0.1575,4.7993
4015,episode 70 | episode 72 | episode 73 If there is an afterlife,28000,476485,0.05876,4.4472
4016,take stock of the great gods in those classes,86000,1950000,0.0441,4.9345
4017,stingy search people's decoration brain circuit | even if the decoration master jumping,43000,746000,0.05764,4.6335
4018,family,18000,218000,0.08257,4.2553
4019,this is not an ordinary silent mini,33000,841931,0.0392,4.5185
4020,dare to compare strength with Solon,151000,3298000,0.04579,5.179
4021,the royal children down into a pauper,12000,1732568,0.00693,4.0792
4022,nine seconds not heart challenge # Ultraman #2022 photosynthesis creator conference # summer attack,43000,279000,0.15412,4.6335
4023,Aite a person to ask you to drink milk tea if she refused to lose a thousand hair!! # West Tour shake # I'm working fast,82000,292000,0.28082,4.9138
4024,trying to provoke Ye Wan Wan wan and night cold feelings,21000,564632,0.03719,4.3222
4025,Lai God VS Dehua,21000,1133341,0.01853,4.3222
4026,Xia Zhu does not like money,26000,1004365,0.02589,4.415
4027,centenarians for immortality,136000,25041148,0.00543,5.1335
4028,the test suit dawns the season is over! Already looking forward to the new season! # LightEncounter # LightEncounter Anniversary Music Festival,23000,415000,0.05542,4.3617
4029,two-way to the meaning of the next sentence is one-sided bitter love is meaningless feelings are sincere pay on both sides rather than unrequited love,209000,2729000,0.07658,5.3201
4030,steel M4 grab radiation plate poverty alleviation: consecutively play three six sets of actually all purple? This is too black #PUBG subway escape,44000,1127428,0.03903,4.6435
4031,when people think you're a witch,36000,536000,0.06716,4.5563
4032,are all mirror players so confident? A blot of blood straight in my face? A: Really think I Han Xin vegetarian!,12000,289326,0.04148,4.0792
4033,Episode 70: No problem Protagonist Template! # SandsculptMending Fairies,14000,713000,0.01964,4.1462
4034,the new character Obo's Egg can't be unknown to anyone! # Escapeteen # EscapeTeen Brig Song King # Southernsky commentary,23000,931000,0.0247,4.3617
4035,finished completely will not play [SCUM survival 01] # single game # SCum # rain is early morning,47000,1376000,0.03416,4.6721
4036,love you and understand you in the end which is important # screening hall free open blockbusters # open bullet screen good drama # former three goodbye predecessor,45000,1466000,0.0307,4.6532
4037,high-end ingredients need the most crooked chef to make the most authentic taste # food # father,81000,3136000,0.02583,4.9085
4038,episode 16 | The female soldiers become drill sergeants,15000,1288644,0.01164,4.1761
4039,# Youth send 2 Haozi after all not with small Qi together,46000,1648936,0.0279,4.6628
4040,lucky color survival! Find Lucky color to get buff,24000,1017113,0.0236,4.3802
4041,potato harvest,25000,929000,0.02691,4.398
4042,# I am chasing good drama in fast hands,29000,3082363,0.00941,4.4624
4043,Episode 24,13000,250000,0.052,4.114
4044,# bump world #happy low quality video # Plus check club ys set,32000,579000,0.05527,4.5052
4045,six Immortal pillars help Naruto return to the top # anime,66000,1992655,0.03312,4.8196
4046,Mickey returns! # escapeteen,60000,1443000,0.04158,4.7782
4047,I don't understandI really don't understand # Lonesome # Mini-world,147000,4866317,0.03021,5.1673
4048,# SpongeBob Squarepants # Photosynthetic Creators Conference 2022,81000,3321886,0.02438,4.9085
4049,# Quadratic Nova # Comic recommendations # Comic commentary,80000,2810000,0.02847,4.9031
4050,the poor family eat buffet hot pot,13000,1309700,0.00993,4.114
4051,I'm sorry,234000,5677000,0.04122,5.3692
4052,# Escape from Tarkov My Rancour team,14000,343000,0.04082,4.1462
4053,Seitaro: Want to go to heaven? Don't bother,39000,363000,0.10744,4.5911
4054,# Room intro till next issue,28000,426000,0.06573,4.4472
4055,I'm just trying to break up a fight ！！！！ 😭 # Peaceelitist # Telegraphers # chickeneveryday. 😭,22000,490000,0.0449,4.3424
4056,what's it like to play Titan at Sakuranochi 峠? # Ace Race # Bitegame # GameFanstar Project,12000,302568,0.03966,4.0792
4057,Devil's Redemption #podo Comics # Devil's Covenant Family # Manga Commentary,17000,412678,0.04119,4.2305
4058,episode 9 | The friendship between the fireman and the Angel in White is enenvious! # Saluting the Firemen # rallying Photosynthesis creators,65000,3957000,0.01643,4.8129
4059,Chinese armed police VS US Army veteran,33000,781000,0.04225,4.5185
4060,firepower versus flying pig Bobo,97000,1336879,0.07256,4.9868
4061,Great old ancestor 6# sand sculpture Xiuxian animation,15000,249000,0.06024,4.1761
4062,# GigitalyPeace Year # Fast Hand Photosynthesis Program Mission Impossible,13000,489186,0.02657,4.114
4063,Kai this silly food,64000,1121000,0.05709,4.8062
4064,Gauss no longer play with Musashi # Gauss Ultraman # Ultraman #2022 college entrance exam season,24000,480000,0.05,4.3802
4065,# Summer smash # Country all over the world! Add-on! Plug-in!,11000,492000,0.02236,4.0414
4066,the wise Zhao Yun and the wise keep the promise # Gather it photosynthesis creator # King Glory hot # hundred li keep the promise,144000,1755000,0.08205,5.1584
4067,the people eat and drink the devil,35000,1915000,0.01828,4.5441
4068,[Virtual world Adventures] (3) Pangolin sacrifice # vitality knight small animation,25000,442000,0.05656,4.398
4069,# Brawler Pepe is coming 🙂,123000,1066000,0.11538,5.0899
4070,who else want to see me snipe? # Leaderboard,14000,456000,0.0307,4.1462
4071,material from live broadcast,170000,5276000,0.03222,5.2305
4072,very like Marco pineapple sentence I am an alcohol allergic handsome man # King Glory Marco Polo show,439000,4115000,0.10668,5.6425
4073,Cheng elder brother in public with Tong Yao kiss,97000,1837000,0.0528,4.9868
4074,This is father and son collusion,102000,1089000,0.09366,5.0086
4075,I shot a great game video for # Mini-World! Play with me # Mini-World Desert version # PlaySummer,48000,1589040,0.03021,4.6813
4076,Bai Yu does not want to accept students at all,185000,2906608,0.06365,5.2672
4077,this is what poison,38000,2523920,0.01506,4.5798
4078,man addicted to plastic surgery,13000,843627,0.01541,4.114
4079,the groom is embarrassed to death # We all have to be good # Fast hand film and television new hot plan # I am fast hand to catch up with good drama,27000,2598531,0.01039,4.4314
4080,the guy can not afford to buy a house,19000,3107408,0.00611,4.2788
4081,good voice players sing plagiarised songs,11000,625000,0.0176,4.0414
4082,ten thousand Zhangs from the ground up,11000,435000,0.02529,4.0414
4083,the inventory only heard its sound,76000,1803000,0.04215,4.8808
4084,if everything on the cliff that day,70000,479000,0.14614,4.8451
4085,Ultraman was killed by the monster! Sello awakens the Mirror Knight,19000,919882,0.02065,4.2788
4086,I saved the world and forgot about your deal with me # Anime commentary # Haruhi Strike,321000,10053000,0.03193,5.5065
4087,SJ16 Blitzer Distance Artifact! # Dark zone breakout # dark zone blessing me a # new tour author group,46000,840791,0.05471,4.6628
4088,Sayro's head stuck in a watermelon # Summer strike # 2 Yuan # Sayro,25000,1413649,0.01768,4.398
4089,# Classic film # Commentary Iron Post is too humble,12000,2189242,0.00548,4.0792
4090,what did you all draw # Ace Race # Gamestar Project,18000,436000,0.04128,4.2553
4091,green to panic Sprite how to draw?? Still want to see what object it ~ # art student art joint exam # Gouache still life # art teacher's daily,61000,800000,0.07625,4.7853
4092,play light letter. Pissed off. Talk me out of playing. I'll be stubborn! # Kingglory # Akiyama # Glory Firefly Project,36000,673000,0.05349,4.5563
4093,the 32nd set,12000,322000,0.03727,4.0792
4094,be brave,25000,316000,0.07911,4.398
4095,eight feet adults the first episode,29000,729932,0.03973,4.4624
4096,Payne invades Woodleaf # Spring Strike # Second Dimensional Nova # Power Project,96000,1725000,0.05565,4.9823
4097,sweet to the ears red blush do not know how many times they have seen # Just like Old friends # first acquaintance with Jun # Ren Jialun Di Lireba,13000,196000,0.06633,4.114
4098,in a sound Abba fall,16000,205000,0.07805,4.2041
4099,I've done it again with spiral river noodle! Guess my Coke Ice rice noodle overturned? # Warm Spring Food tips # Summer food tips # Cola river noodle,57000,2706000,0.02106,4.7559
4100,The Love Story of Abdominal Black Outstanding Student and Proud Jiao Bully 02 # Abdominal Black Outstanding student and Proud Jiao bully,268000,4893000,0.05477,5.4281
4101,# Fast film Tanabata broadcast fight break two big narrator # fight break the sky cartoon,29000,694667,0.04175,4.4624
4102,pig five-flower ~ he burned up! # Quickfoodie # BBQ # Late night poison,42000,562000,0.07473,4.6233
4103,# Summer Crashdown # Fast Hands Power # Liliane < -- Teach Orange,18000,116000,0.15517,4.2553
4104,Kai brother plans to buy a house in the city,35000,1992000,0.01757,4.5441
4105,Meng new must see,12000,330000,0.03636,4.0792
4106,# film Changjin Lake Watergate bridge # film and television clips # chasing drama soldiers are taking snow to satisfy hunger,159000,2282000,0.06968,5.2014
4107,the dark letter is too strong. Get it on the wave before it nerfs! # King of Glory # Dark Letter # Rakesh,14000,1066418,0.01313,4.1462
4108,False Justice # Beastboonie # Summerstrike,39000,503073,0.07752,4.5911
4109,Nine Yellow Springs Medusa evolution nine color swallowing python breakthrough to four star saint # fight break the sky # Spring day strike # Assembly photosynthesis creator,15000,754000,0.01989,4.1761
4110,opportunities are always left to those who are prepared # CAI Xukun # character story,234000,5314000,0.04403,5.3692
4111,run male brothers guess shortcomings: Lu Han straight to make people afraid,168000,7062000,0.02379,5.2253
4112,the United States police ASP Arkansas state police high-speed motorcycle chase,20000,2635000,0.00759,4.3011
4113,Honey Mini World: Simulated Blind parkour,13000,209000,0.0622,4.114
4114,Doraemon is in a prison where you can't be angry! ? # Boyhood cartoons # Healing,36000,1619210,0.02223,4.5563
4115,kebabs season how can less mutton,62000,9698000,0.00639,4.7924
4116,the guest is the main # Pink Panther # memories of childhood classic cartoons,29000,1120809,0.02587,4.4624
4117,urban management indiscriminately will open the steamed bun stall,189000,12609412,0.01499,5.2765
4118,I updated in advance # Ruijin ooc apology # a pomelo topic # I am the original imitation please Ait,14000,108745,0.12874,4.1462
4119,Dehua encounter engage mentality teammates,16000,1102910,0.01451,4.2041
4120,episode 2/2; The lad searches for a treasure knife for revenge. # Classic # Wuxia drama,28000,5382713,0.0052,4.4472
4121,Qingdao movie sense seaside,29000,258000,0.1124,4.4624
4122,a zombie film directed by Tsui Hark,17000,471000,0.03609,4.2305
4123,can not live up to the good intentions of Ma Chao brother # King glory # Canyon art # detail operation,27000,387000,0.06977,4.4314
4124,what is the reason why you like Naruto # Summer Smash,63000,617000,0.10211,4.7993
4125,# Bygone Child's wings I really like # Eggy party,23000,783982,0.02934,4.3617
4126,| special perspective makeup the fifth play | tulip makeup (゚∀゚) ノ♡ youth invincible beautiful girl is with beautiful flower! Come in and do your makeup! #asmr Sleep aid video # voice-activated # Sleep aid,212000,5223000,0.04059,5.3263
4127,this creepy fox school bully has two faces! # Morning sun animation project # quick look comics # nine-tailed Fox school bully after targeting me,97000,1094000,0.08867,4.9868
4128,God Seal seven monsters # God Seal Throne,39000,991000,0.03935,4.5911
4129,# Naruto # Naruto Mobile Games # Naruto Free mobile Games Ready to face the yellow flash of Tianxiu operation,34000,584829,0.05814,4.5315
4130,only once in life,90000,2007000,0.04484,4.9542
4131,Yan Fire Brigade: Sen Luo second block VS thousand Sakura! # Yanyan Fire Brigade # Spring Day strike # Assemble Photosynthetic creator,56000,918000,0.061,4.7482
4132,# Zhang Zixuan raised the first flag of the motherland remember hundreds of millions of patriotism,17000,202000,0.08416,4.2305
4133,they are both bestie,51000,2646191,0.01927,4.7076
4134,addicted to the softness of cosplay.# Little Pony # soft # Little Pony,65000,1217660,0.05338,4.8129
